HorseID,Name,Country,Age,Color,Sex,ImportType,SeasonStakes,TotalStakes,123Starts,StartsPast10,Trainer,Owner,CurrentRating,StartRating,Sire,Dam,DamSire
A002,PRAWN BABA,AUS,5,Brown,Gelding,PP,2963900,5946425,3-5-1-23,1,J Size,Kevin Lau Yat Sun,100,91,Duke Of Marmalade,Countess Of Tiba,Second Empire
A024,KEEN VENTURE,AUS,5,Chestnut,Gelding,PP,916050,3530250,1-4-0-18,1,A Lee,Mr & Mrs Victor Lui Ting and Ian Lui,86,87,Sebring,Morning Dews,Peintre Celebre
A042,SWISS WARRIOR,NZ,6,Chestnut,Gelding,PP,0,142025,0-0-1-4,0,T P Yung,Tsang Kam Chuen,69,69,Swiss Ace,Poetic Music,Stravinsky
A062,TOP STRIKE,NZ,5,Bay,Gelding,PPG,0,0,0-0-0-2,2,A Lee,Happy Racing Syndicate,49,52,Swiss Ace,Beaver Cove,Mossman
A067,TANG FLEMING,GB,5,Bay,Gelding,PP,746700,1574150,1-2-2-15,0,C W Chang,Tang Xiao Dan,76,75,Makfi,High Cross,Cape Cross
A074,WINNING VANGOGH,NZ,5,Bay,Gelding,PP,1152800,1152800,0-4-0-9,1,C S Shum,Vincent Cheung Lam Hung,78,75,Swiss Ace,Goldie Thorn,Thorn Park
A093,EAGLE WAY,AUS,5,Chestnut,Gelding,PP,5310000,11362500,3-2-3-15,1,J Moore,Siu Pak Kwan,118,112,More Than Ready,Wedgetail Eagle,Lure
A128,PHANTOM FALCON,NZ,4,Bay,Gelding,PPG,1484850,1854450,1-5-1-11,0,L Ho,Clement Ma Kang Ching,64,53,Swiss Ace,River Nymph,Captain Rio
A149,ROCKY MALONE,NZ,5,Bay,Gelding,PP,0,0,0-0-0-1,0,C S Shum,DBS Lowcock Syndicate,80,80,Swiss Ace,More Assertive,Zeditave
A154,DR WIN WIN,IRE,5,Bay,Gelding,PP,2134900,2134900,2-2-0-13,0,F C Lor,Getmore Group Syndicate,83,71,Makfi,Baine,Country Reel
A171,STAR OF JOY,AUS,4,Bay,Gelding,PP,576400,953075,0-0-4-13,1,K L Man,Lo Chuen Hang,62,65,Snitzel,At Ease,Canny Lad
A189,ELECTRIC LIGHTNING,AUS,4,Bay,Gelding,PPG,686400,1379400,2-1-1-13,1,D E Ferraris,Samson Yip Yan Tion,58,57,Not A Single Doubt,Plain Crazy,Bite The Bullet
A207,FANTASTIC SHOW,AUS,3,Bay,Gelding,PPG,70000,717800,1-1-0-8,0,Y S Tsui,HKPCA Syndicate,54,59,Not A Single Doubt,Evoked,Song Of Tara
A222,REMARKABLE,AUS,4,Bay,Gelding,PPG,1680800,1680800,3-1-0-11,1,J Size,The Hon Andrew K N Li & Tan Boon Seng,64,46,More Than Ready,Jujube,Encosta de Lago
A252,SOUTHERN LEGEND,AUS,5,Bay,Gelding,PP,6776900,8524400,4-1-1-11,1,C Fownes,Boniface Ho Ka Kui,123,93,Not A Single Doubt,Donna's Appeal,Carnegie
A280,CREME BRULEE,NZ,4,Bay,Gelding,PPG,299200,299200,0-1-0-7,2,C H Yip,Yung Chak Man,44,48,Showcasing,Twelve Carat,Snaadee
A290,WIN BEAUTY WIN,NZ,3,Bay,Gelding,PPG,2634700,2634700,3-1-0-5,1,P O'Sullivan,Kitty Kwok Sea Nga,78,52,Makfi,Mandeville,Hussonet
A294,KHAKI,AUS,4,Brown,Gelding,PP,0,0,0-0-0-9,0,A T Millard,Edwin Kwok Wai Ming,56,74,Commands,Chameleon,Encosta de Lago
A297,COBY BOY,AUS,5,Chestnut,Gelding,PP,1427000,2130950,2-1-0-4,2,T P Yung,Huen Ho Yin,87,79,Sebring,Elle Labelle,Elvstroem
A313,HAPPY WARRIOR,AUS,4,Brown,Gelding,ISG,0,0,0-0-0-4,0,J Moore,Brian Leung Hung Tak,46,52,More Than Ready,Zingaling,Redoute's Choice
A337,SHANGHAI MASTER,AUS,4,Brown,Gelding,PP,975950,975950,1-0-1-11,1,K W Lui,Perfect Bonding Syndicate,74,77,More Than Ready,Rose Of Hallowell,Commands
A338,BOMBAY BLITZ,AUS,4,Chestnut,Gelding,PP,229250,229250,0-0-1-5,0,C Fownes,Ranjan Tikam Mahtani,80,82,Snitzel,Covertly,Metal Storm
A377,GUNNISON,AUS,3,Chestnut,Gelding,PP,223200,223200,0-0-0-4,2,J Size,Frank Feng Ching Yeng,84,86,Not A Single Doubt,Colorado Claire,Hussonet
A386,SINCERE HORSE,AUS,3,Bay,Gelding,PPG,0,0,0-0-0-3,0,T P Yung,Samuel Chan Min,45,52,Not A Single Doubt,Five Star Belle,General Nediym
A418,FORTUNE BOOTH,AUS,4,Chestnut,Gelding,PP,2181600,2181600,2-1-1-8,1,M J Freedman,Simon Liu Wei Jie,89,73,More Than Ready,Gunawati,Galileo
B040,LEAN PERFECTION,AUS,3,Bay,Gelding,PPG,1828500,1828500,3-0-0-4,1,C H Yip,Cheng Wan Wai,80,52,Sebring,Suzy Rocks,Rock Of Gibraltar
