RaceID,HorseID,RaceIndex,Pla,RaceDate,RC,Track,Course,Dist,G,RaceClass,Dr,Rtg,Trainer,Jockey,LBW,WinOdds,ActWt,RunningPosition,FinishTime,DeclarHorseWt,Gear
001_030916,T288,1,11,2016-09-03,ST,Turf,B,1200,G,5,13,33,C W Chang,K C Ng,7,84,117,10-14-11,1.10.48,1034,TT
001_030916,V107,1,2,2016-09-03,ST,Turf,B,1200,G,5,3,40,A Lee,J Moreira,1-1/4,0,129,1-1-2,1.09.56,1120,TT/B/E1
001_030917,A106,1,10,2017-09-03,ST,Turf,B,1000,G,4,5,50,K L Man,K C Leung,11-3/4,99,125,9-10-10,0.58.16,1140,H
001_030917,A204,1,4,2017-09-03,ST,Turf,B,1000,G,4,6,47,A S Cruz,M Chadwick,6-1/2,0,124,7-6-4,0.57.30,1123,TT/H/B1
001_030917,A330,1,9,2017-09-03,ST,Turf,B,1000,G,4,4,52,D E Ferraris,U Rispoli,9-3/4,96,129,10-9-9,0.57.84,1066,--
001_030917,A339,1,1,2017-09-03,ST,Turf,B,1000,G,4,10,52,W Y So,J Moreira,4,0,129,3-1-1,0.56.28,1253,--
001_030917,A347,1,6,2017-09-03,ST,Turf,B,1000,G,4,2,52,C S Shum,N Rawiller,8-1/2,0,129,2-3-6,0.57.63,1135,--
001_030917,P063,1,5,2017-09-03,ST,Turf,B,1000,G,4,1,43,R Gibson,H N Wong,6-3/4,17,115,5-5-5,0.57.36,1241,V
001_030917,T091,1,2,2017-09-03,ST,Turf,B,1000,G,4,9,45,C Fownes,M F Poon,4,10,115,1-2-2,0.56.90,1075,--
001_030917,V348,1,8,2017-09-03,ST,Turf,B,1000,G,4,3,43,P F Yiu,T Berry,9,59,120,8-8-8,0.57.72,1037,B
002_030916,S246,2,8,2016-09-03,ST,Turf,B,1400,G,5,8,32,C Fownes,N Callan,4,29,125,11-12-8-8,1.23.56,1017,TT-/P-
002_030916,S409,2,3,2016-09-03,ST,Turf,B,1400,G,5,2,23,D Cruz,H N Wong,2-1/4,20,109,9-5-6-3,1.23.21,1075,XB/SR1
002_030916,T023,2,2,2016-09-03,ST,Turf,B,1400,G,5,11,40,K W Lui,C Y Ho,1-1/4,0,131,2-2-1-2,1.23.07,1101,--
002_030916,T393,2,11,2016-09-03,ST,Turf,B,1400,G,5,9,40,K L Man,H W Lai,7,68,133,12-13-14-11,1.24.02,1118,--
002_030917,S205,2,4,2017-09-03,ST,Turf,B,1600,G,5,4,33,C Fownes,C Y Ho,2-1/4,68,124,10-10-10-4,1.36.54,1027,--
002_030917,S346,2,99,2017-09-03,ST,Turf,B,1600,G,5,99,40,Y S Tsui,N Rawiller,--,0,133,,0.00.00,0,--
002_030917,T323,2,8,2017-09-03,ST,Turf,B,1600,G,5,5,19,C W Chang,K Teetan,3-3/4,20,113,9-11-11-8,1.36.77,1175,H
002_030917,V369,2,7,2017-09-03,ST,Turf,B,1600,G,5,1,34,A Lee,M L Yeung,3-1/2,16,125,5-4-4-7,1.36.71,1091,H/B1
002_060915,S397,2,4,2015-09-06,ST,Turf,B,1000,G,4,3,59,P F Yiu,N Callan,3,11,132,6-4-4,0.56.69,1147,TT/H/XB
002_060915,T027,2,99,2015-09-06,ST,Turf,B,1000,G,4,99,47,C H Yip,D Whyte,--,0,120,,0.00.00,0,--
002_060915,T163,2,5,2015-09-06,ST,Turf,B,1000,G,4,11,60,Y S Tsui,R Fourie,3-1/4,6,133,12-8-5,0.56.73,1072,B
002_060915,T306,2,1,2015-09-06,ST,Turf,B,1000,G,4,8,52,W Y So,J Moreira,1-1/4,0,125,4-5-1,0.56.22,1195,--
002_140914,P256,2,12,2014-09-14,ST,Turf,A,1200,GF,5,4,39,K W Lui,Z Purton,9,0,133,6-5-12,1.11.42,1123,B/H
003_030916,N236,3,9,2016-09-03,ST,Turf,B,1200,G,1,9,95,A T Millard,K K Chiong,5-1/4,82,106,2-3-9,1.09.05,1167,TT
003_030916,S110,3,11,2016-09-03,ST,Turf,B,1200,G,1,11,114,C Fownes,Z Purton,13-1/4,0,126,10-11-11,1.10.30,1172,H
003_030916,S212,3,2,2016-09-03,ST,Turf,B,1200,G,1,6,92,A S Cruz,M Chadwick,3/4,21,113,11-10-2,1.08.33,1180,TT/B
003_030916,S398,3,3,2016-09-03,ST,Turf,B,1200,G,1,4,105,P F Yiu,K Teetan,1,0,117,6-9-3,1.08.36,1129,--
003_030916,T103,3,6,2016-09-03,ST,Turf,B,1200,G,1,7,102,K W Lui,D Whyte,2-1/4,12,116,9-5-6,1.08.56,1069,B
003_030916,T163,3,7,2016-09-03,ST,Turf,B,1200,G,1,1,95,Y S Tsui,K C Leung,3,41,113,8-8-7,1.08.66,1073,B
003_030917,A170,3,4,2017-09-03,ST,Turf,B,1200,G,1,3,108,J Moore,T Berry,2,0,118,4-4-4,1.08.64,1026,XB-/H
003_030917,A252,3,5,2017-09-03,ST,Turf,B,1200,G,1,6,93,C Fownes,K Teetan,4-3/4,12,113,7-5-5,1.09.08,1131,--
003_030917,S398,3,2,2017-09-03,ST,Turf,B,1200,G,1,7,123,P F Yiu,Z Purton,1-1/2,0,133,3-3-2,1.08.54,1128,B-/XB
003_030917,T005,3,3,2017-09-03,ST,Turf,B,1200,G,1,1,107,W Y So,M F Poon,1-3/4,0,110,1-1-3,1.08.59,1140,TT/XB
003_030917,V290,3,6,2017-09-03,ST,Turf,B,1200,G,1,5,99,Y S Tsui,H T Mo,5-1/2,0,106,2-2-6,1.09.20,1169,SR
003_030917,V410,3,1,2017-09-03,ST,Turf,B,1200,G,1,4,107,C S Shum,J Moreira,1-1/2,0,117,6-6-1,1.08.32,1029,TT
003_060915,S212,3,5,2015-09-06,ST,Turf,B,1200,G,1,7,102,A S Cruz,M L Yeung,2,12,111,11-11-5,1.09.08,1187,TT/B
003_060915,T200,3,3,2015-09-06,ST,Turf,B,1200,G,1,10,90,A T Millard,R Fourie,1-1/2,19,115,5-3-3,1.09.03,1066,B
003_140914,N236,3,1,2014-09-14,ST,Turf,A,1200,GF,1,11,104,A T Millard,J Moreira,N,0,115,7-6-1,1.08.37,1179,TT
003_140914,S143,3,3,2014-09-14,ST,Turf,A,1200,GF,1,2,103,A S Cruz,M Chadwick,1,0,113,1-1-3,1.08.55,1110,TT/CP
004_030916,S241,4,11,2016-09-03,ST,Turf,B,1000,G,4,12,50,A Lee,H W Lai,4-3/4,19,123,10-9-11,0.57.10,1148,TT/V
004_030916,T073,4,5,2016-09-03,ST,Turf,B,1000,G,4,1,48,L Ho,K C Leung,2-1/4,0,119,2-1-5,0.56.71,1087,V
004_030916,T091,4,8,2016-09-03,ST,Turf,B,1000,G,4,10,48,C Fownes,K K Chiong,2-3/4,6,114,1-3-8,0.56.78,1058,--
004_030916,T113,4,13,2016-09-03,ST,Turf,B,1000,G,4,14,52,W Y So,Y T Cheng,12-1/4,99,125,13-13-13,0.58.30,1152,--
004_030916,V037,4,9,2016-09-03,ST,Turf,B,1000,G,4,11,51,A T Millard,S Clipperton,3,12,124,5-6-9,0.56.84,1069,TT
004_030916,V229,4,7,2016-09-03,ST,Turf,B,1000,G,4,3,50,J Size,J Moreira,2-1/2,0,123,7-10-7,0.56.73,1124,B/H
004_030917,A146,4,6,2017-09-03,ST,Turf,B,1200,G,4,5,52,A S Cruz,D Whyte,5-1/2,0,129,6-7-6,1.10.84,1112,TT/B
004_030917,A208,4,9,2017-09-03,ST,Turf,B,1200,G,4,13,49,L Ho,N Callan,8-1/4,99,126,2-2-9,1.11.32,1149,V
004_030917,A259,4,8,2017-09-03,ST,Turf,B,1200,G,4,11,48,K L Man,K Teetan,8,99,125,13-13-8,1.11.24,1126,SB
004_030917,A333,4,3,2017-09-03,ST,Turf,B,1200,G,4,9,52,C S Shum,N Rawiller,2-3/4,47,129,8-9-3,1.10.43,1118,TT1/H1
004_030917,S425,4,11,2017-09-03,ST,Turf,B,1200,G,4,7,43,C H Yip,K C Ng,10-1/4,73,117,10-12-11,1.11.64,1133,TT
004_030917,T373,4,13,2017-09-03,ST,Turf,B,1200,G,4,6,53,Y S Tsui,H W Lai,12-1/4,16,130,5-6-13,1.11.95,1053,TT/B
004_080913,N139,4,3,2013-09-08,ST,Turf,A,1400,G,5,14,31,T K Ng,H W Lai,2-1/4,0,123,14-12-12-3,1.23.75,1160,--
004_140914,N186,4,5,2014-09-14,ST,Turf,A,1200,GF,4,11,41,T P Yung,W M Lai,4-3/4,12,115,9-8-5,1.10.01,973,--
005_030916,P272,5,7,2016-09-03,ST,Turf,B,1400,G,4,9,45,D E Ferraris,S Clipperton,5-1/4,61,118,14-14-14-7,1.23.01,1052,--
005_030916,T213,5,99,2016-09-03,ST,Turf,B,1400,G,4,3,60,W Y So,K K Chiong,--,0,126,4-6-6,0.00.00,1182,TT/B
005_030916,T329,5,5,2016-09-03,ST,Turf,B,1400,G,4,1,40,C W Chang,K C Ng,4,99,108,7-7-8-5,1.22.78,1144,TT/B-
005_030916,V040,5,11,2016-09-03,ST,Turf,B,1400,G,4,8,48,A T Millard,K Teetan,10-1/4,10,121,12-12-12-11,1.23.78,1035,XB
005_030916,V117,5,6,2016-09-03,ST,Turf,B,1400,G,4,10,44,Y S Tsui,H N Wong,4-1/2,99,110,5-5-5-6,1.22.88,1102,H-/B2
005_030916,V238,5,13,2016-09-03,ST,Turf,B,1400,G,4,6,53,L Ho,T H So,12,99,124,13-13-13-13,1.24.08,1093,--
005_030916,V283,5,12,2016-09-03,ST,Turf,B,1400,G,4,11,49,A S Cruz,N Callan,11-3/4,17,122,2-3-4-12,1.24.05,1214,TT
005_030917,S051,5,5,2017-09-03,ST,Turf,B,1200,G,5,8,23,L Ho,M F Poon,2,0,109,6-5-5,1.10.53,1153,TT
005_030917,S113,5,4,2017-09-03,ST,Turf,B,1200,G,5,5,35,A Lee,B Prebble,2,14,128,10-12-4,1.10.52,1152,TT
005_030917,T022,5,11,2017-09-03,ST,Turf,B,1200,G,5,2,24,K W Lui,K C Leung,6-1/4,22,115,2-4-11,1.11.19,953,H/XB
005_030917,T042,5,7,2017-09-03,ST,Turf,B,1200,G,5,6,27,D Cruz,C Y Ho,2-3/4,19,118,11-9-7,1.10.64,1101,TT
005_030917,T258,5,1,2017-09-03,ST,Turf,B,1200,G,5,4,27,F C Lor,J Moreira,1-1/2,0,120,7-7-1,1.10.19,1119,TT
005_030917,T280,5,12,2017-09-03,ST,Turf,B,1200,G,5,11,19,A Lee,M L Yeung,8,32,111,8-10-12,1.11.45,1061,B
