HorseID,Rtg,Sire,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
V348,43,Swiss Ace,8,2017-09-03,1000,0.57.72,1037
S397,59,Not A Single Doubt,4,2015-09-06,1000,0.56.69,1147
A252,93,Not A Single Doubt,5,2017-09-03,1200,1.09.08,1131
T280,19,Flying Spur,12,2017-09-03,1200,1.11.45,1061
T429,19,Not A Single Doubt,3,2017-09-03,1200,1.10.46,1183
V334,46,Flying Spur,5,2017-09-03,1400,1.22.94,1168
V002,80,Not A Single Doubt,5,2016-09-03,1000,0.56.74,1121
A074,75,Swiss Ace,6,2017-09-03,1000,0.57.30,1159
A149,80,Swiss Ace,12,2017-09-03,1000,0.58.97,1159
M273,69,Flying Spur,2,2012-09-08,1200,1.10.12,1214
S419,73,Commands,8,2017-09-03,1200,1.10.28,1094
V150,78,Snitzel,10,2017-09-03,1200,1.10.55,1137
T098,84,Duke Of Marmalade,7,2016-09-03,1400,1.21.51,1180
V150,82,Snitzel,8,2016-09-03,1400,1.21.76,1109
V011,40,Not A Single Doubt,10,2016-09-07,1200,0.00.00,1100
V105,55,Showcasing,5,2016-09-07,1650,1.42.41,1029
A128,53,Swiss Ace,2,2017-09-06,1200,1.11.08,983
T345,41,Commands,10,2017-09-06,1200,1.12.60,1071
V011,52,Not A Single Doubt,6,2017-09-06,1200,1.11.47,1100
M273,45,Flying Spur,5,2016-09-07,1200,1.11.91,1231
T345,53,Commands,6,2016-09-07,1200,1.12.14,1081
A337,77,More Than Ready,11,2017-09-06,1200,1.10.83,1153
T341,67,Commands,6,2017-09-06,1200,1.10.64,1065
T405,61,Commands,5,2017-09-06,1200,1.10.63,1113
V347,65,Showcasing,9,2017-09-06,1200,1.10.79,1112
T405,61,Commands,3,2016-09-07,1200,1.11.07,1082
A280,48,Showcasing,2,2017-09-10,1200,1.09.74,1080
T289,40,Showcasing,3,2016-09-11,1000,0.58.10,1091
M273,32,Flying Spur,11,2017-09-10,1000,0.59.09,1257
V375,38,Makfi,3,2017-09-10,1000,0.57.06,1150
T280,19,Flying Spur,10,2017-09-10,1400,1.23.87,1060
T429,20,Not A Single Doubt,3,2017-09-10,1400,1.23.33,1183
V250,58,Duke Of Marmalade,6,2017-09-10,1200,1.10.02,1206
S078,65,Commands,6,2014-09-21,1600,1.35.60,1048
S397,70,Not A Single Doubt,3,2016-09-11,1200,1.09.48,1168
T289,68,Showcasing,10,2015-09-13,1200,1.10.45,1075
A074,75,Swiss Ace,2,2017-09-10,1200,1.08.85,1152
M273,40,Flying Spur,2,2014-09-24,1000,0.56.50,1234
S078,50,Commands,7,2016-09-18,1650,1.40.90,1045
M273,50,Flying Spur,10,2015-09-16,1000,0.00.00,1100
M273,45,Flying Spur,11,2016-09-18,1000,0.58.00,1240
T345,53,Commands,8,2016-09-18,1000,0.57.86,1074
V258,54,Not A Single Doubt,12,2016-09-18,1000,0.58.01,1139
V347,53,Showcasing,5,2016-09-18,1000,0.57.55,1145
S078,54,Commands,10,2017-09-13,1650,0.00.00,1100
V020,77,Showcasing,10,2017-09-13,1650,1.41.91,1110
S397,69,Not A Single Doubt,9,2017-09-13,1200,1.10.63,1169
V002,80,Not A Single Doubt,7,2016-09-18,1000,0.56.64,1118
M273,70,Flying Spur,3,2012-09-19,1200,1.10.31,1206
