HorseID,Name,Country,Age,Color,Sex,ImportType,SeasonStakes,TotalStakes,123Starts,StartsPast10,Trainer,Owner,CurrentRating,StartRating,Sire,Dam,DamSire
A001,BURST AWAY,AUS,5,Bay,Gelding,PP,0,0,0-0-0-6,1,D E Ferraris,Jamie Cheng Po Kwan,62,67,Bel Esprit,Filly Of Choice,End Sweep
A002,PRAWN BABA,AUS,5,Brown,Gelding,PP,2963900,5946425,3-5-1-23,1,J Size,Kevin Lau Yat Sun,100,91,Duke Of Marmalade,Countess Of Tiba,Second Empire
A004,THE JAZZ,NZ,5,Bay,Gelding,PP,294800,367425,0-1-1-12,0,P F Yiu,Happy & Fun Syndicate,55,53,O'Reilly,Frockstar,Pins
A005,RED ELYSEES,GB,5,Chestnut,Gelding,PPG,1289200,1797400,2-3-1-18,2,K L Man,Mr & Mrs Dannis Lee Cheuk Yin,60,56,Champs Elysees,Red Boots,Verglas
A006,ALL YOU NEED,AUS,4,Bay,Gelding,PPG,402500,1066100,1-1-3-13,2,R Gibson,Eric Ng Wing Kwong,55,62,Danerich,Metung Belle,Viscount
A007,BOND ELEGANCE,AUS,4,Bay,Gelding,PPG,1489050,2628475,3-3-2-26,2,J Size,WTC Syndicate,58,62,Hard Spun,La Italia,Stravinsky
A008,MONEY BOY,AUS,4,Bay,Gelding,PPG,3071950,5056575,3-8-6-31,3,J Size,Evelyn Cheng Wei Kwan & Jacky Ho Fai Keung,78,66,Hinchinbrook,Kianben,Jan Murray
A009,POWERMAX,AUS,5,Bay,Gelding,PPG,596050,3138020,3-3-3-16,1,R Gibson,Men Din Go Syndicate,65,73,Magnus,Gypsy Marauder,Marauding
A010,GRADE ONE,AUS,4,Brown,Gelding,PPG,1399200,1663800,2-2-2-14,1,P O'Sullivan,Benny Kwong Kai Sing,57,44,Manhattan Rain,Zipanese,Bellotto
A011,HAPPY HAPPY STAR,AUS,4,Brown,Gelding,PPG,547450,1427175,2-1-1-12,1,K L Man,Happy Happy Happy Syndicate,65,62,O'Reilly,Classy Fashion,Fusaichi Pegasus
A012,KWAICHUNG BROTHERS,AUS,5,Bay,Gelding,PPG,738100,965950,1-1-4-19,0,R Gibson,Rotary Club of Kwai Chung Syndicate,39,37,Racer's Edge,Shezgonewest,Mugharreb
A013,OCEAN ELITE,AUS,4,Bay,Gelding,PPG,0,0,0-0-0-5,1,W Y So,Wednesday Night Racing Syndicate,45,51,Snippetson,Exselva,Exceed And Excel
A014,FAIR COMMENT,AUS,4,Bay,Gelding,PPG,62700,92100,0-0-0-14,1,A S Cruz,Ma Ching Fat,22,32,So You Think,Dariana,Redoute's Choice
A017,DON'T MISS,AUS,4,Bay,Gelding,PPG,2094150,2094150,3-1-1-11,1,L Ho,Triple Crown Syndicate,68,46,Wanted,Paralegal,O'Reilly
A018,TELECOM TITAN,AUS,5,Chestnut,Gelding,PPG,99000,99000,0-0-1-9,1,K W Lui,Alex Cheung King Shek,35,35,Written Tycoon,Sun 'N' Soda,Desert Sun
A019,STAR OF HONG KONG,JPN,4,Dark Bay,Gelding,PPG,0,0,0-0-0-5,0,L Ho,Ting Ping Sing,39,54,Heart's Cry,Crime,Gulch
A020,ELEGANCE PROMISE,JPN,4,Dark Bay,Gelding,PPG,30800,59500,0-0-0-9,0,A Lee,Wu Yan Wah,37,50,Kane Hekili,Eureka Chan,Gold Allure
A021,LUCKY DOLLAR,AUS,5,Bay,Gelding,PP,399800,1375450,1-2-0-11,1,T P Yung,Lee Yuen Fat & Ng Kam Ming,76,81,All American,Lodore Falls,Redoute's Choice
A022,MOST BEAUTIFUL,AUS,5,Brown,Gelding,PP,956300,1756525,0-3-5-24,2,C S Shum,Erica Tang Sui Yan,57,68,Blackfriars,Line Of Flight,Bletchley Park
A023,APPLAUSE,AUS,5,Chestnut,Gelding,PP,616000,616000,1-0-0-17,2,D Cruz,Chocolate Syndicate,44,50,Lope de Vega,Isola Di Capri,Galileo
A024,KEEN VENTURE,AUS,5,Chestnut,Gelding,PP,916050,3530250,1-4-0-18,1,A Lee,Mr & Mrs Victor Lui Ting and Ian Lui,86,87,Sebring,Morning Dews,Peintre Celebre
A025,WINNER'S WAY,AUS,5,Chestnut,Gelding,PP,2417500,9269600,4-5-2-20,2,A S Cruz,Peter Young Wai Po & Dr Arthur Leung Shing Tat,115,110,Starcraft,Sunday Service,Sunday Silence
A026,CATCHMEIFYOUCAN,AUS,5,Bay,Gelding,PPG,455400,455400,1-0-0-18,2,T P Yung,Tai Po Rotary Racing Syndicate,17,23,Bel Esprit,Swinging Feeling,Danasinga
A027,AUTOPAY,NZ,5,Bay,Gelding,PPG,167200,549400,0-1-1-15,3,A Lee,Bruce Tsoi Mau Tang,40,47,Darci Brahma,Boogie Nights,Galileo
A030,INFINITY ENDEAVOUR,AUS,4,Bay,Gelding,PPG,2747850,3449250,3-4-2-16,2,J Size,Virginia Siu Leung Hiu Bing,82,58,Fastnet Rock,Black Mamba,Black Minnaloushe
A031,EXPONENTS,AUS,4,Chestnut,Gelding,PPG,62700,92100,0-0-0-14,1,Y S Tsui,Lily Chan Li Lei & Marc Chan,21,33,Foxwedge,Sunday Service,Sunday Silence
A034,FURLONG DRAGON,AUS,4,Bay,Brown,PPG,0,0,0-0-0-6,0,Y S Tsui,Ann Kung Yeung Yun Chi,35,38,Tycoon Ruler,Akordat,Danasinga
A036,ELUSIVE STATE,AUS,4,Bay,Gelding,PP,915200,915200,1-1-0-18,2,D Cruz,Eden Wong Chi Hong & Anita Chu Suk Ching,47,53,All American,Jarada,Redoute's Choice
A039,MORETHANLUCKY,NZ,4,Bay,Gelding,PP,3840200,3957525,4-1-1-14,0,F C Lor,Funs of Family Racing Syndicate,92,53,Per Incanto,Viking Angel,Viking Ruler
A040,JADE THEATRE,AUS,4,Bay,Gelding,PP,1044725,1964800,2-0-1-14,1,K L Man,Charles Tung Chung Ho,78,73,Pluck,Miguelita,Danehill
A041,CIRCUIT HASSLER,NZ,5,Bay,Gelding,PP,1828300,2825800,1-3-3-19,1,A S Cruz,Chan Wing Kwan,84,80,Shocking,Zaquabeel,Zabeel
A042,SWISS WARRIOR,NZ,6,Chestnut,Gelding,PP,0,142025,0-0-1-4,0,T P Yung,Tsang Kam Chuen,69,69,Swiss Ace,Poetic Music,Stravinsky
